"...1","Hunter Sulte
Indy Eleven","Elvis Amoh
Indy Eleven","Jack Blake
Indy Eleven","Oliver Brynéus
Indy Eleven","Reice Charles-Cook
Indy Eleven","Elliot Collier
Indy Eleven","Maalique Foster
Indy Eleven","Patrick Hogan
Indy Eleven","Ryan Hunsucker
Indy Eleven","Edward Kizza
Indy Eleven","Cameron Lindley
Indy Eleven","Maverick McCoy
Indy Eleven","Finn McRobb
Indy Eleven","James Murphy
Indy Eleven","James Musa
Indy Eleven","Logan Neidlinger
Indy Eleven","Josh O'brien
Indy Eleven","Benjamin Ofeimu
Indy Eleven","Aodhan Quinn
Indy Eleven","Bruno Manuel Rendón
Indy Eleven","Brem Soumaoro
Indy Eleven","Aedan Stanley
Indy Eleven","Hayden White
Indy Eleven","Romario Williams
Indy Eleven"
"Games played","18.0",19,20,"9.0","2.0","13.0",17,19,"0.0",19,16,"0.0","9.0",20,19,"7.0","14.0",16,20,16,"4.0","8.0","11.0",11
"Minutes played","1620.0",881,1604,"343.0","180.0","248.0",1261,1229,"0.0",789,899,"0.0","458.0",1686,1699,"133.0","731.0",1213,1719,1140,"58.0","680.0","619.0",528
"Starts","18.0",11,20,"3.0","2.0","0.0",15,12,"0.0",8,9,"0.0","5.0",19,19,"0.0","9.0",14,20,14,"1.0","8.0","8.0",5
"Subbed on","0.0",8,0,"6.0","0.0","13.0",2,7,"0.0",11,7,"0.0","4.0",1,0,"7.0","5.0",2,0,2,"3.0","0.0","3.0",6
"Subbed off","0.0",11,13,"3.0","0.0","0.0",9,2,"0.0",7,4,"0.0","3.0",3,1,"0.0","6.0",2,6,6,"1.0","2.0","4.0",4
"Goals conceded","31.0",16,33,"10.0","6.0","5.0",30,27,"0.0",18,13,"0.0","11.0",35,33,"4.0","11.0",25,35,20,"1.0","16.0","12.0",14
"Saves","47.0",0,0,"0.0","4.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","15.0",0,0,"0.0","1.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","8.0",0,0,"0.0","1.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0",5,7,"0.0","0.0","0.0",2,2,"0.0",2,1,"0.0","0.0",1,1,"0.0","0.0",2,3,1,"0.0","0.0","0.0",4
"Penalties","0.0",0,4,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Minutes per goal","-",176.2,229.1,"-","-","-",630.5,614.5,"-",394.5,899,"-","-",1686,1699,"-","-",606.5,573,1140,"-","-","-",132
"Shots on target","0.0",9,16,"3.0","0.0","2.0",7,3,"0.0",6,1,"0.0","1.0",4,2,"0.0","0.0",5,6,4,"0.0","1.0","0.0",7
"Shooting accuracy","-",50,48.5,"33.3","-","40.0",30.4,50,"-",54.5,50,"-","33.3",44.4,40,"-","0.0",62.5,33.3,26.7,"0.0","100.0","-",58.3
"Successful crosses","0.0",0,3,"2.0","0.0","0.0",2,0,"0.0",2,0,"0.0","5.0",6,1,"3.0","1.0",1,8,6,"0.0","5.0","1.0",0
"Crossing accuracy","-",0,15,"16.7","-","0.0",4.9,0,"-",50,0,"-","31.3",33.3,25,"50.0","100.0",33.3,14.5,16.2,"0.0","18.5","10.0",0
"Assists","0.0",1,4,"1.0","0.0","1.0",3,0,"0.0",1,2,"0.0","0.0",2,1,"0.0","0.0",0,6,0,"0.0","0.0","0.0",0
"Key Passes","0.0",9,18,"5.0","0.0","3.0",15,2,"0.0",7,9,"0.0","4.0",20,3,"1.0","0.0",3,18,9,"0.0","3.0","2.0",2
"Penalties won","0.0",0,1,"0.0","0.0","0.0",1,0,"0.0",1,0,"0.0","0.0",0,1,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Offsides","0.0",6,2,"2.0","0.0","2.0",6,3,"0.0",8,0,"0.0","0.0",0,2,"0.0","0.0",0,5,2,"0.0","0.0","0.0",5
"Tackles won","0.0",7,19,"3.0","0.0","5.0",7,10,"0.0",4,8,"0.0","5.0",23,14,"5.0","8.0",12,17,20,"2.0","9.0","7.0",5
"Tackles success rate","-",58.3,73.1,"60.0","-","71.4",53.8,71.4,"-",44.4,66.7,"-","50.0",54.8,73.7,"83.3","61.5",57.1,65.4,69,"100.0","81.8","87.5",55.6
"Clearances","18.0",11,14,"5.0","3.0","1.0",2,124,"0.0",2,7,"0.0","21.0",20,115,"6.0","30.0",85,39,24,"0.0","21.0","15.0",7
"Blocks","0.0",2,3,"1.0","0.0","0.0",2,12,"0.0",0,2,"0.0","2.0",6,6,"0.0","2.0",14,4,1,"1.0","2.0","2.0",0
"Interceptions","0.0",2,5,"1.0","0.0","0.0",6,17,"0.0",3,10,"0.0","3.0",18,24,"6.0","4.0",7,11,6,"0.0","7.0","4.0",0
"Successful passes","200.0",118,453,"55.0","22.0","48.0",241,351,"0.0",140,385,"0.0","162.0",669,527,"25.0","146.0",362,522,217,"23.0","209.0","161.0",82
"Passing accuracy","51.0",68.2,76.6,"69.6","50.0","69.6",79.3,80,"-",82.8,83,"-","77.1",80.8,79.5,"59.5","74.1",83,75.2,66.6,"92.0","79.2","75.6",78.1
"Passing accuracy in opponents' half (%)","29.1",62.8,69.9,"57.1","33.3","67.8",66.1,57.5,"-",77.5,72.8,"-","66.4",71.5,66.6,"64.5","64.0",73.5,61.4,55.5,"82.4","64.4","65.7",74.4
"Successful dribbles","0.0",12,4,"2.0","0.0","4.0",21,0,"0.0",1,1,"0.0","2.0",2,4,"2.0","1.0",2,5,5,"1.0","2.0","1.0",2
"Fouls won","1.0",19,31,"1.0","0.0","6.0",30,5,"0.0",15,11,"0.0","3.0",22,25,"1.0","7.0",7,14,17,"0.0","10.0","5.0",9
"Fouls conceded","0.0",20,31,"5.0","0.0","2.0",17,16,"0.0",17,15,"0.0","7.0",21,29,"3.0","10.0",11,23,21,"1.0","10.0","14.0",12
"Penalties conceded","0.0",0,1,"0.0","0.0","0.0",0,0,"0.0",1,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","1.0",0
"Yellow cards","1.0",1,3,"0.0","1.0","1.0",3,2,"0.0",2,1,"0.0","1.0",5,6,"0.0","2.0",2,3,3,"0.0","0.0","2.0",1
"Red cards","0.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,1,"0.0","0.0","1.0",0
